card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Fury,Creature,Red,5.0,13632.0,14112.0,34.83483483483484,78,250,False,scored,0.203087,0.223633,0.204705,0.221249,93.87550200803213,94.17670682730923,93.77510040160642,93.77510040160642,59.04066717319729,59.341871992474395,58.940265566771586,58.940265566771586
Hymn to Tourach,Sorcery,Black,2.0,17690.0,10054.0,22.822822822822822,33,81,False,scored,0.0658,0.080618,0.053554,0.055598,81.17469879518072,83.13253012048193,78.01204819277109,76.90763052208835,58.351875972357895,60.30970729765911,55.18922536994827,54.08480769926553
Balustrade Spy,Creature,Black,4.0,14676.0,13068.0,31.23123123123123,35,152,False,scored,0.123477,0.066262,0.136136,0.09901,89.20682730923694,80.2710843373494,89.60843373493975,84.88955823293173,57.97559607800571,49.03985310611816,58.37720250370852,53.6583270017005
Bridge from Below,Enchantment,Black,3.0,21350.0,6394.0,14.264264264264265,23,37,False,scored,0.030057,0.008835,0.03003,0.00952,71.08433734939759,50.30120481927711,70.63253012048193,53.714859437751,56.82007308513332,36.03694055501285,56.36826585621767,39.45059517348674
Archon of Cruelty,Creature,Black,8.0,13715.0,14029.0,33.933933933933936,102,172,False,scored,0.139724,0.083379,0.137137,0.086443,90.71285140562249,83.68473895582329,89.85943775100401,83.48393574297188,56.77891747168855,49.750805021889356,55.92550381707007,49.550001809037944
Goblin Warchief,Creature,Red,3.0,21706.0,6038.0,12.762762762762764,14,29,False,scored,0.023558,0.044174,0.027528,0.035796,68.27309236947791,74.24698795180723,69.6285140562249,70.63253012048193,55.510329606715146,61.484225189044466,56.86575129346214,57.86976735771917
Murderous Cut,Instant,Black,5.0,19933.0,7811.0,17.86786786786787,24,43,False,scored,0.034931,0.039205,0.034034,0.041889,73.19277108433735,71.93775100401606,72.69076305220884,73.74497991967871,55.32490321646948,54.06988313614819,54.822895184340965,55.87711205181084
Echo of Eons,Sorcery,Blue,6.0,20520.0,7224.0,15.915915915915916,11,35,False,scored,0.028432,0.060188,0.023524,0.050647,70.03012048192771,78.56425702811245,68.22289156626506,75.70281124497991,54.11420456601179,62.64834111219653,52.306975650349145,59.786895329063995
Questing Druid,Creature,Multicolor,2.0,17147.0,10597.0,24.624624624624627,24,70,False,scored,0.056864,0.043622,0.07958,0.041508,78.56425702811245,73.84538152610442,83.23293172690764,73.59437751004016,53.93963240348782,49.22075690147979,58.60830710228301,48.96975288541553
"Ulamog, the Ceaseless Hunger",Creature,Colorless,10.0,25649.0,2095.0,3.6036036036036037,13,13,False,scored,0.010561,0.019879,0.00951,0.024372,57.47991967871486,62.75100401606426,55.72289156626506,65.8132530120482,53.876316075111255,59.147400412460655,52.11928796266146,62.20964940844459
Molten Collapse,Sorcery,Multicolor,2.0,18420.0,9324.0,19.81981981981982,29,44,False,scored,0.035743,0.044174,0.043544,0.038462,73.54417670682732,74.24698795180723,75.85341365461848,72.23895582329317,53.724356887007495,54.42716813198741,56.03359383479866,52.41913600347335
Thought Monitor,Creature,Blue,7.0,18672.0,9072.0,18.61861861861862,17,37,False,scored,0.030057,0.0127,0.033534,0.008759,71.08433734939759,54.21686746987952,72.43975903614458,51.40562248995984,52.46571873077897,35.5982488512609,53.82114041752596,32.78700387134122
